,xcoord,ycoord
0,-1150.7505399527888,598.4734483588902
1,27.012003592600617,646.1149169001957
2,-0.0700023193002468,-895.6822414802507
3,1226.3078599515552,38.581798800721586
4,-731.7146762646606,760.630153246645
5,-1277.140245707182,109.74928526266491
6,-1138.7236437479114,-961.8708085432258
7,175.3369102569743,471.50845137431844
8,-1242.8075282283194,217.03971331691974
9,607.9781573453546,382.38628162471866
10,169.7318166829876,958.0889188240532
11,-112.03310934138092,-241.8373667571698
12,-52.28500498161935,-557.1628906008312
13,-844.0962467447655,-15.842850355085416
14,465.99557429648695,747.4296270766599
15,-1135.9577999846754,-889.7862784581586
16,494.3565922101128,-1221.4936540768592
17,1144.1737208707061,-966.0292404244725
18,-1102.734912741345,391.2687500175687
19,653.7858772229501,343.73630974766417
20,-72.29287299091234,-872.4258265450226
21,144.6700645157972,838.0879726289897
22,183.59682275714977,839.8006159922471
23,-1189.796840831515,284.1594487294555
24,-1026.3331965051432,-360.3745518477037
25,-64.8609592423501,938.3897371073386
26,574.048093226388,0.43105702374940735
27,-206.69509098927333,-76.02990013275736
28,547.9307219775181,437.22792725918606
29,475.29802810247753,-122.43166349238082
30,-1160.6496063042403,670.7631384035628
31,356.3892831334888,-352.08112492839564
32,50.29946153265007,-1303.336558839866
33,-808.8278101291355,479.63549017553225
34,52.10603605867733,-404.1054153042521
35,951.5328900057307,970.9163093622614
36,44.41384629048146,-1163.260855507872
37,653.2044034359368,-309.8254760258787
38,663.5027125114628,-1280.9498351813481
39,129.32556801849194,-291.62911125230397
40,-0.9925452870899358,681.0324776980004
41,909.7232193037364,-968.250537583552
42,-364.50546194532603,1226.605970319303
43,605.4216069564447,530.0601557376829
44,271.5546000928668,260.18311279760337
45,-1241.334147638606,671.1390162748531
46,795.829355739787,-267.79677760203447
47,-622.2575398927903,-211.0585487322386
48,-725.7158621047889,815.936375396067
49,-461.535648066695,-1380.610966435479
50,183.51031348792705,256.0656440710553
51,149.15584474363516,-1327.1004174703519
52,-729.2048360526868,887.2016376908044
53,52.7699977120213,-987.2569779054917
54,505.2869226287492,-1219.6755438087528
55,-1476.0688475486177,-126.25973774149587
56,-571.2000327385483,-432.62790773474876
57,302.54608346720664,-491.6535654782381
58,-953.9398314406872,1098.900369234281
59,-1055.6109993799416,-643.9148626922236
60,-570.0954394210033,835.0427542310453
61,675.9904944309807,-935.5107594935162
62,-1280.7411754498612,173.6746236764096
63,759.9819031539662,-1107.7640961449863
64,-1166.7920254873338,-880.4001628900205
65,473.81740732516505,-873.5047342136021
66,711.7613850521833,-383.62782758331485
67,1111.4553888978542,457.10870923802554
68,-844.2462345148627,494.4701128183499
69,82.73517794616629,-1176.620260009418
70,803.7260453338408,-560.279212748735
71,522.5963978754071,-264.0556008338967
72,572.6334326012266,859.1947231405009
73,-912.0992510827512,-869.060075232516
74,-18.586421414015856,1366.7188793347234
75,813.5897409468593,670.003781820213
76,-350.66938837956616,511.51866629011784
77,927.0729183027344,278.70401856433915
78,515.3742579654908,1245.371235914387
79,697.7289303762235,664.2054211468359
80,-1068.677756952423,-677.1204224175688
81,-279.12999792877457,-1048.2453737165001
82,-707.2987428449668,-208.17114377119756
83,214.37860341559627,1339.8285432713474
84,-102.75141847517735,416.8803419855173
85,922.666968951989,-582.815323182767
86,-661.6813958544179,-136.47793961213137
87,-287.2782034347215,263.37242518742414
88,-416.1953047567888,-994.2757826940671
89,1052.4058197332956,-84.143212121107
90,-1209.7340069830047,-358.4731755503245
91,-1277.2916770822187,243.73195942909044
92,1209.882428509406,423.05122922931577
